Employee_ID,Name,Age,Gender,Country,City,Education,Job_Title,Department,Experience_Years,Salary_USD,Bonus_USD,Work_Hours_Per_Week,Remote_Work,Performance_Score,Joining_Year,Contract_Type
1,Employee_1,58,Female,India,NY,Bachelor,Manager,IT,0,130735,3650,41,Yes,1,2015,Part-Time
2,Employee_2,48,Female,UK,NY,High School,Designer,HR,4,54363,14600,52,No,2,2022,Part-Time
3,Employee_3,34,Male,USA,London,High School,Manager,IT,1,76694,15317,51,Yes,8,2010,Part-Time
4,Employee_4,27,Male,UK,Karachi,Bachelor,Developer,Marketing,19,31582,19768,51,Yes,5,2004,Contract
5,Employee_5,40,Male,Canada,London,Master,Manager,IT,2,109910,18193,59,Yes,7,2008,Full-Time
6,Employee_6,58,Female,India,London,PhD,Designer,Marketing,18,96844,16563,34,Yes,1,2002,Full-Time
7,Employee_7,38,Male,UK,Delhi,PhD,Designer,IT,17,51301,7895,40,Yes,5,2007,Contract
8,Employee_8,42,Female,USA,Delhi,High School,Developer,HR,28,104329,18543,33,No,3,2005,Part-Time
9,Employee_9,30,Female,UK,Karachi,Master,Analyst,IT,21,31620,2531,56,No,2,2003,Contract
10,Employee_10,30,Male,Pakistan,Delhi,Bachelor,Manager,HR,17,92224,6481,33,Yes,2,2011,Contract
11,Employee_11,43,Male,USA,LA,High School,Designer,HR,13,86655,11874,32,No,9,2011,Part-Time
12,Employee_12,55,Female,Canada,Karachi,Master,Manager,IT,29,125419,7163,55,Yes,4,2024,Part-Time
13,Employee_13,59,Female,India,Delhi,Master,Manager,HR,23,67534,6264,53,Yes,4,2020,Full-Time
14,Employee_14,43,Female,UK,Karachi,Master,Analyst,Finance,7,133496,18615,52,Yes,7,2015,Part-Time
15,Employee_15,22,Male,USA,London,Bachelor,Designer,IT,28,69390,16890,54,Yes,2,2009,Contract
16,Employee_16,41,Female,Pakistan,London,Bachelor,Manager,IT,29,101629,19807,46,No,3,2021,Contract
17,Employee_17,21,Male,USA,Karachi,PhD,Designer,HR,11,85856,12767,36,Yes,3,2013,Part-Time
18,Employee_18,43,Female,Pakistan,LA,PhD,Developer,HR,20,79252,9071,55,No,6,2012,Full-Time
19,Employee_19,49,Female,Canada,LA,Master,Developer,IT,9,85809,16540,33,Yes,3,2008,Contract
20,Employee_20,57,Male,India,Karachi,Master,Manager,Finance,22,52259,3908,52,Yes,5,2006,Part-Time
21,Employee_21,21,Female,Canada,Delhi,Bachelor,Designer,HR,19,50655,5712,42,No,4,2011,Full-Time
22,Employee_22,40,Male,UK,Toronto,PhD,Manager,HR,16,63005,13190,41,Yes,3,2004,Full-Time
23,Employee_23,52,Male,USA,LA,Master,Designer,Marketing,10,61629,11150,30,Yes,8,2017,Contract
24,Employee_24,31,Female,Pakistan,NY,PhD,Designer,Finance,1,53610,5491,50,No,3,2003,Contract
25,Employee_25,41,Male,Pakistan,London,PhD,Analyst,Finance,25,87184,14919,48,No,6,2001,Full-Time
26,Employee_26,44,Male,USA,Karachi,Master,Analyst,IT,25,51602,15168,50,No,7,2002,Full-Time
27,Employee_27,46,Female,USA,NY,Bachelor,Analyst,Finance,3,115945,9593,49,Yes,7,2011,Full-Time
28,Employee_28,47,Male,UK,Karachi,Master,Manager,IT,0,41110,18358,47,Yes,2,2002,Part-Time
29,Employee_29,35,Male,Canada,London,Master,Analyst,Marketing,14,36073,17607,40,No,3,2003,Contract
30,Employee_30,34,Male,Pakistan,London,PhD,Analyst,Finance,12,130846,5613,49,No,4,2005,Full-Time
31,Employee_31,22,Female,UK,LA,Master,Developer,HR,7,110818,12426,32,Yes,7,2011,Contract
32,Employee_32,56,Male,Canada,LA,Bachelor,Designer,Marketing,24,40195,17609,58,Yes,2,2018,Contract
33,Employee_33,26,Female,UK,NY,Master,Designer,IT,3,31537,9183,46,No,3,2009,Contract
34,Employee_34,40,Female,Pakistan,Karachi,Bachelor,Analyst,Marketing,9,47138,18725,41,No,7,2000,Full-Time
35,Employee_35,28,Male,USA,London,Bachelor,Designer,IT,18,74328,9401,39,No,7,2016,Part-Time
36,Employee_36,58,Male,USA,NY,PhD,Developer,Marketing,17,76202,4727,37,No,3,2015,Full-Time
37,Employee_37,37,Male,Canada,Toronto,High School,Developer,IT,4,70164,14703,44,Yes,1,2008,Contract
38,Employee_38,23,Female,India,NY,High School,Analyst,Finance,29,119743,11218,34,Yes,3,2024,Full-Time
39,Employee_39,44,Male,Canada,Delhi,PhD,Developer,HR,18,84659,1393,33,Yes,5,2020,Full-Time
40,Employee_40,33,Male,India,NY,Master,Designer,IT,25,116155,16992,55,Yes,7,2008,Contract
41,Employee_41,28,Male,UK,Delhi,PhD,Manager,Marketing,22,79692,10035,57,No,4,2022,Contract
42,Employee_42,45,Male,UK,Delhi,Bachelor,Designer,IT,26,54845,10716,50,Yes,1,2008,Full-Time
43,Employee_43,21,Male,Pakistan,Delhi,High School,Manager,IT,21,119846,9795,49,No,6,2011,Full-Time
44,Employee_44,39,Female,India,Toronto,PhD,Analyst,IT,15,133435,1581,48,Yes,2,2022,Full-Time
45,Employee_45,47,Female,Pakistan,NY,Master,Manager,Marketing,0,60562,15330,50,Yes,3,2008,Full-Time
46,Employee_46,26,Male,USA,NY,PhD,Developer,HR,11,58036,11131,33,Yes,4,2014,Part-Time
47,Employee_47,27,Male,India,Toronto,High School,Designer,Finance,23,90752,1132,44,No,6,2001,Full-Time
48,Employee_48,54,Male,Canada,London,PhD,Manager,HR,1,104233,15984,46,Yes,6,2010,Part-Time
49,Employee_49,33,Male,USA,LA,PhD,Designer,IT,20,113049,4385,41,No,7,2010,Contract
50,Employee_50,36,Female,USA,NY,High School,Analyst,Marketing,24,138575,4770,32,No,5,2007,Part-Time
51,Employee_51,55,Male,Canada,LA,Bachelor,Analyst,HR,7,98681,3268,39,Yes,7,2022,Contract
52,Employee_52,59,Female,USA,Karachi,Bachelor,Developer,IT,17,57818,1975,44,No,2,2005,Part-Time
53,Employee_53,23,Female,India,Karachi,High School,Analyst,Finance,24,60544,8605,39,Yes,1,2020,Contract
54,Employee_54,21,Male,Pakistan,Toronto,PhD,Manager,Finance,15,92532,8213,53,No,8,2019,Full-Time
55,Employee_55,25,Female,USA,Karachi,High School,Analyst,Finance,4,108636,12455,52,Yes,1,2006,Part-Time
56,Employee_56,23,Female,India,Karachi,Bachelor,Developer,IT,25,87705,3835,47,No,2,2002,Part-Time
57,Employee_57,48,Female,UK,London,Master,Designer,Marketing,29,50104,3738,30,No,6,2007,Contract
58,Employee_58,37,Female,India,London,PhD,Designer,HR,21,99603,10549,32,Yes,1,2017,Contract
59,Employee_59,45,Male,Pakistan,London,Bachelor,Analyst,Finance,12,132499,5134,50,Yes,3,2016,Part-Time
60,Employee_60,53,Male,India,Karachi,PhD,Manager,IT,18,89025,7833,55,Yes,7,2010,Contract
61,Employee_61,29,Female,Canada,Toronto,High School,Developer,IT,28,126264,9353,56,Yes,8,2001,Full-Time
62,Employee_62,55,Male,Pakistan,Delhi,Master,Manager,HR,2,62317,16690,41,No,4,2024,Part-Time
63,Employee_63,33,Male,UK,Delhi,High School,Developer,Finance,25,61416,2909,30,No,3,2020,Full-Time
64,Employee_64,50,Male,Canada,LA,Master,Analyst,IT,7,72012,15496,32,No,1,2023,Part-Time
65,Employee_65,34,Male,India,Delhi,PhD,Developer,HR,26,135585,13062,32,No,9,2018,Full-Time
66,Employee_66,27,Male,Pakistan,Delhi,PhD,Developer,Marketing,25,98045,10850,34,Yes,6,2006,Part-Time
67,Employee_67,33,Female,UK,London,High School,Analyst,Marketing,25,51400,2963,48,No,6,2017,Contract
68,Employee_68,42,Male,Canada,London,Master,Manager,Marketing,11,78270,6153,58,Yes,9,2007,Part-Time
69,Employee_69,59,Male,UK,Karachi,Master,Analyst,Finance,1,102069,11481,54,No,1,2013,Full-Time
70,Employee_70,40,Male,India,LA,PhD,Developer,HR,10,149415,1966,30,Yes,6,2006,Part-Time
71,Employee_71,35,Male,UK,NY,High School,Analyst,HR,11,79833,1889,33,Yes,5,2020,Full-Time
72,Employee_72,37,Female,USA,LA,Master,Developer,IT,27,93644,7461,58,Yes,6,2003,Full-Time
73,Employee_73,43,Female,Canada,LA,PhD,Analyst,IT,17,110206,7166,58,Yes,8,2016,Full-Time
74,Employee_74,45,Female,UK,Toronto,Bachelor,Designer,IT,12,99468,17006,55,Yes,5,2004,Contract
75,Employee_75,44,Female,India,Karachi,High School,Designer,HR,4,142899,12381,55,No,2,2011,Part-Time
76,Employee_76,48,Male,India,Toronto,Bachelor,Analyst,IT,21,89473,17344,33,Yes,2,2008,Full-Time
77,Employee_77,34,Female,UK,LA,High School,Manager,HR,11,75809,11940,46,No,5,2019,Contract
78,Employee_78,20,Male,India,LA,PhD,Developer,HR,1,68328,12258,43,No,3,2012,Full-Time
79,Employee_79,44,Male,Pakistan,LA,Master,Designer,Marketing,4,66784,8280,47,Yes,3,2024,Part-Time
80,Employee_80,26,Male,Pakistan,Delhi,Master,Manager,IT,6,53723,2067,56,No,8,2017,Contract
81,Employee_81,28,Male,Pakistan,Toronto,Master,Developer,Marketing,25,90646,12115,30,No,7,2019,Full-Time
82,Employee_82,43,Male,USA,LA,High School,Designer,Finance,25,96255,10018,51,No,1,2008,Full-Time
83,Employee_83,20,Female,UK,London,PhD,Designer,Finance,23,30074,16753,45,Yes,5,2003,Full-Time
84,Employee_84,27,Female,USA,Karachi,Bachelor,Analyst,Finance,11,56498,15178,32,Yes,9,2020,Part-Time
85,Employee_85,43,Female,India,Karachi,PhD,Developer,HR,15,95522,16187,52,Yes,4,2007,Contract
86,Employee_86,30,Female,USA,London,Bachelor,Manager,HR,22,126881,5607,50,Yes,1,2000,Contract
87,Employee_87,36,Male,India,Karachi,High School,Manager,HR,7,50541,4985,38,No,8,2016,Contract
88,Employee_88,27,Female,India,Delhi,High School,Manager,IT,29,75929,11284,52,No,5,2024,Full-Time
89,Employee_89,54,Male,Canada,Delhi,Bachelor,Developer,Marketing,27,130453,15554,33,No,2,2008,Contract
90,Employee_90,54,Female,Pakistan,NY,Bachelor,Manager,HR,8,56028,5538,50,No,1,2019,Full-Time
91,Employee_91,52,Male,India,NY,Bachelor,Manager,Marketing,14,59545,19746,34,No,3,2012,Part-Time
92,Employee_92,24,Male,Canada,NY,PhD,Manager,Marketing,4,109569,19608,40,No,9,2001,Contract
93,Employee_93,58,Female,Pakistan,Karachi,Bachelor,Analyst,Marketing,12,61673,7371,50,Yes,1,2012,Full-Time
94,Employee_94,47,Male,India,Delhi,High School,Analyst,IT,4,60974,2726,55,No,4,2008,Contract
95,Employee_95,26,Male,India,Delhi,High School,Developer,IT,10,88899,6791,38,No,8,2019,Contract
96,Employee_96,28,Female,USA,Delhi,Master,Developer,Finance,9,53097,9458,55,No,8,2005,Part-Time
97,Employee_97,27,Male,USA,London,Bachelor,Manager,Finance,19,132511,18221,32,Yes,8,2000,Contract
98,Employee_98,31,Female,Pakistan,Delhi,PhD,Analyst,Marketing,12,123144,16738,35,No,8,2024,Part-Time
99,Employee_99,53,Female,India,London,PhD,Designer,Finance,8,94824,18070,53,No,4,2004,Contract
100,Employee_100,52,Female,UK,NY,PhD,Designer,Marketing,20,53525,17740,40,Yes,8,2002,Contract
101,Employee_101,42,Male,USA,NY,Master,Manager,IT,13,87804,10063,38,No,9,2003,Contract
102,Employee_102,43,Male,Pakistan,Karachi,High School,Manager,IT,17,45043,11165,58,Yes,7,2000,Contract
103,Employee_103,56,Male,India,NY,PhD,Analyst,IT,14,71846,15539,44,Yes,2,2013,Contract
104,Employee_104,54,Female,India,Karachi,High School,Analyst,HR,9,107261,16572,52,No,9,2008,Contract
105,Employee_105,59,Male,UK,LA,Master,Analyst,Marketing,23,132240,5647,57,No,8,2023,Part-Time
106,Employee_106,41,Female,Pakistan,LA,Bachelor,Developer,IT,6,137611,11002,32,Yes,5,2003,Part-Time
107,Employee_107,46,Female,India,Toronto,Bachelor,Developer,Marketing,7,80227,11833,30,No,3,2017,Full-Time
108,Employee_108,54,Male,USA,Karachi,Bachelor,Manager,Finance,27,83028,11420,49,No,7,2013,Contract
109,Employee_109,20,Female,UK,Toronto,PhD,Developer,Finance,2,67383,7642,58,Yes,2,2024,Part-Time
110,Employee_110,54,Male,Pakistan,Toronto,Bachelor,Analyst,IT,14,59483,11542,51,Yes,3,2003,Contract
